id,question,reference_answer,expected_keywords
1,Why does my laptop keep disconnecting from Wi-Fi every few minutes?,"1. Move closer to the router to rule out signal strength issues. 2. Update your Wi-Fi adapter driver from Device Manager. 3. Disable power-saving mode for the wireless adapter (Device Manager > Network Adapters > Properties > Power Management). 4. Forget the network and reconnect using the correct password. 5. Restart the router by unplugging it for 30 seconds. 6. If the issue persists, check for firmware updates on the router.",wifi|disconnect|adapter|driver|router
2,"My computer shows 'No Internet, Secured' on Wi-Fi. How do I fix it?","1. Restart your router and modem. 2. Run Windows Network Troubleshooter (Settings > Network & Internet > Status > Network Troubleshooter). 3. Flush the DNS cache using 'ipconfig /flushdns' in Command Prompt. 4. Release and renew the IP address with 'ipconfig /release' then 'ipconfig /renew'. 5. Temporarily disable your firewall/antivirus to test for conflicts. 6. If other devices also fail to connect, contact your ISP.",wifi|no internet|dns|router|troubleshoot
3,How do I connect to a hidden Wi-Fi network?,"1. Open Wi-Fi settings and select 'Add a network' or 'Hidden Network'. 2. Enter the exact network name (SSID) and security type used by the router. 3. Enter the correct password. 4. Save the network so it reconnects automatically next time. 5. If the connection fails, verify the SSID and password with your network administrator.",wifi|hidden network|ssid|connection
4,Wi-Fi is connected but pages won't load in the browser. What should I check?,1. Confirm other devices on the same network can browse normally. 2. Clear your browser cache and cookies. 3. Try a different browser to rule out a browser-specific issue. 4. Flush DNS with 'ipconfig /flushdns' and try changing DNS servers to 8.8.8.8 and 8.8.4.4. 5. Disable VPN or proxy settings temporarily. 6. Restart the router if the problem affects all devices.,wifi|browser|dns|connectivity|proxy
5,How can I improve slow Wi-Fi speed at home or in the office?,"1. Restart the router and modem. 2. Move the router to a central, elevated location away from obstructions. 3. Switch to the 5GHz band if available for faster speeds at shorter range. 4. Reduce the number of devices connected simultaneously. 5. Update router firmware. 6. Run a speed test and compare it to your subscribed plan; contact your ISP if results are far below expected.",wifi|slow|speed|router|bandwidth
6,My laptop can't find any Wi-Fi networks at all. What steps should I try?,1. Ensure Wi-Fi is turned on (check the physical switch or Airplane Mode setting). 2. Restart the laptop. 3. Open Device Manager and check if the wireless adapter shows an error icon; reinstall or update the driver if so. 4. Run the built-in network troubleshooter. 5. Test if other devices detect the network to confirm whether the issue is device-specific or router-specific.,wifi|adapter|network not found|driver
7,How do I reset network settings on Windows when Wi-Fi keeps failing?,"1. Go to Settings > Network & Internet > Status > Network Reset. 2. Confirm the reset; the PC will restart automatically. 3. After restart, reconnect to your Wi-Fi network and re-enter the password. 4. Reinstall any VPN software if it was removed during the reset. 5. If issues continue, update the network adapter driver.",wifi|network reset|windows|settings
8,Why does my phone connect to Wi-Fi but show a weak signal in one room?,"1. Check the distance and obstacles (walls, appliances) between the device and router. 2. Reposition the router to a more central location. 3. Consider a Wi-Fi extender or mesh system for large spaces. 4. Switch to the 2.4GHz band for better range (at the cost of speed). 5. Update the router firmware to improve signal handling.",wifi|signal|extender|range|router
9,My printer shows 'Offline' even though it's turned on. How do I fix it?,"1. Check that the printer is powered on and connected via USB or Wi-Fi. 2. Go to Settings > Devices > Printers & Scanners, select the printer, and click 'Set as default'. 3. Right-click the printer and uncheck 'Use Printer Offline' if present. 4. Restart the Print Spooler service (services.msc > Print Spooler > Restart). 5. Reconnect the printer or reinstall the printer driver if the issue persists.",printer|offline|spooler|drivers
10,Why won't my print jobs leave the queue?,1. Open the print queue and cancel all stuck jobs. 2. Restart the Print Spooler service from services.msc. 3. Delete any leftover files in C:\Windows\System32\spool\PRINTERS. 4. Restart the printer and computer. 5. Send a new test print to confirm the queue is clear.,printer|print queue|spooler|stuck jobs
11,How do I fix a printer that prints blank pages?,1. Check ink or toner levels and replace cartridges if low. 2. Run the printer's built-in cleaning utility for the print heads. 3. Confirm you're using the correct paper size and orientation in print settings. 4. Remove and reseat the ink/toner cartridge. 5. Update or reinstall the printer driver if the problem continues.,printer|blank pages|toner|cleaning|drivers
12,My wireless printer keeps disconnecting from the network. What can I do?,1. Confirm the printer and computer are on the same Wi-Fi network. 2. Restart the printer and router. 3. Move the printer closer to the router to improve signal strength. 4. Assign a static IP address to the printer to prevent reconnection issues. 5. Update the printer's firmware and reinstall the driver.,printer|wireless|network|static ip|firmware
13,How do I add a new printer to my computer?,"1. Go to Settings > Devices > Printers & Scanners > Add a printer or scanner. 2. Wait for Windows to detect the printer, or click 'The printer that I want isn't listed' to add it manually by IP address or name. 3. Install the manufacturer's driver if prompted. 4. Print a test page to confirm the setup was successful.",printer|add printer|install|drivers
14,Why does my printer say 'paper jam' when there is no visible paper stuck?,"1. Turn off the printer and open all access panels to inspect for small torn paper fragments. 2. Check the paper tray for misaligned or curled paper and reload it properly. 3. Clean the paper rollers with a lint-free cloth to improve paper feed. 4. Restart the printer after clearing any obstructions. 5. If the error persists, consult the manufacturer's manual for hidden jam points.",printer|paper jam|rollers|troubleshoot
15,How do I fix garbled or incorrect characters printing on my documents?,"1. Update or reinstall the printer driver, as this is often a driver mismatch issue. 2. Ensure the correct printer model driver is selected, not a generic one. 3. Try printing a different document to see if the issue is document-specific. 4. Restart the print spooler service. 5. Update the printer firmware from the manufacturer's website.",printer|garbled text|drivers|firmware
16,My computer has become extremely slow over the past few weeks. What should I check first?,"1. Open Task Manager and check CPU, memory, and disk usage to identify the resource-heavy process. 2. Restart the computer to clear temporary memory buildup. 3. Uninstall unused or unnecessary programs. 4. Run a malware scan using Windows Defender or another trusted antivirus. 5. Disable unnecessary startup programs via Task Manager > Startup tab. 6. Check available disk space and free up storage if it's below 10-15%.",slow|performance|task manager|cpu|memory
17,How do I reduce the number of programs that launch automatically at startup?,1. Open Task Manager and go to the 'Startup' tab. 2. Review the list and note the 'Startup impact' column. 3. Right-click any non-essential program and select 'Disable'. 4. Restart the computer to confirm improved boot time. 5. Repeat periodically as new software may re-add itself to startup.,startup|slow|performance|task manager
18,My hard drive is almost full and the computer is lagging. How can I free up space?,"1. Run Disk Cleanup (search 'Disk Cleanup' in the Start menu) to remove temporary files. 2. Uninstall unused applications via Settings > Apps. 3. Move large files (videos, photos) to external storage or cloud storage. 4. Empty the Recycle Bin. 5. Disable hibernation if not needed using 'powercfg /hibernate off' in an elevated Command Prompt.",slow|disk space|storage|cleanup
19,How can I tell if malware is causing my system to slow down?,1. Run a full scan with Windows Defender or a trusted antivirus tool. 2. Check Task Manager for unfamiliar processes consuming high CPU or network usage. 3. Review installed programs for anything you don't recognize and uninstall suspicious entries. 4. Reset your browser settings if you notice unexpected pop-ups or homepage changes. 5. Consider running a secondary malware scanner like Malwarebytes for a second opinion.,slow|malware|virus|scan|performance
20,My computer takes a very long time to boot up. What can I do?,1. Check the Startup tab in Task Manager and disable unnecessary startup applications. 2. Verify Fast Startup is enabled in Power Options for quicker boot times. 3. Run a disk check using 'chkdsk /f' to rule out drive errors. 4. Consider upgrading to an SSD if you're still using a traditional hard drive. 5. Update the operating system and drivers to the latest versions.,slow boot|startup|performance|chkdsk
21,Why does my laptop overheat and slow down during heavy use?,"1. Ensure vents are not blocked and use the laptop on a hard, flat surface for proper airflow. 2. Clean dust from vents and fans using compressed air. 3. Check Task Manager for processes causing high CPU usage and close unnecessary ones. 4. Update graphics and chipset drivers, which can improve thermal management. 5. Consider a cooling pad if overheating persists during demanding tasks.",overheating|slow|performance|cooling
22,How do I check which applications are using the most memory on my PC?,1. Open Task Manager (Ctrl+Shift+Esc). 2. Click the 'Memory' column header to sort processes by memory usage. 3. Identify high-usage applications and close ones you don't need running. 4. Consider uninstalling memory-heavy applications you rarely use. 5. Add more RAM if the system consistently runs near full memory capacity.,memory|task manager|performance|ram
23,My browser is very slow and sometimes freezes. How can I speed it up?,"1. Clear the browser cache, cookies, and browsing history. 2. Disable or remove unnecessary browser extensions. 3. Update the browser to the latest version. 4. Close unused tabs, as each open tab consumes memory. 5. Try disabling hardware acceleration in browser settings if freezing continues.",browser|slow|cache|extensions|performance
24,I forgot my Windows login password. How can I regain access to my account?,"1. On the login screen, click 'I forgot my password' if using a Microsoft account. 2. Follow the prompts to verify your identity via email or phone. 3. Set a new password and sign back in. 4. If using a local account with no reset option, use a password reset disk if you created one previously, or contact IT support for an administrator reset.",password|reset|windows|login|account
25,How do I reset my company email account password?,"1. Go to the company's password reset portal (usually linked from the login page). 2. Enter your username or email address. 3. Verify your identity using the registered phone number, personal email, or security questions. 4. Create a new password that meets the company's complexity requirements. 5. If self-service reset fails, contact the IT helpdesk to have your password reset manually.",password|reset|email|account|helpdesk
26,My account is locked after too many failed password attempts. What should I do?,"1. Wait 15-30 minutes, as many systems automatically unlock accounts after a cooldown period. 2. Use the 'Forgot Password' or 'Unlock Account' link if available. 3. Verify your identity through the registered recovery method. 4. If the account remains locked, contact IT support to have it manually unlocked. 5. Once unlocked, update your password to something memorable but secure.",account locked|password|reset|unlock
27,What makes a strong password when resetting my credentials?,"1. Use at least 12 characters combining uppercase, lowercase, numbers, and symbols. 2. Avoid common words, names, or easily guessed sequences like '123456'. 3. Don't reuse passwords across multiple accounts. 4. Consider using a passphrase (a memorable sentence) for both strength and ease of recall. 5. Use a password manager to generate and store complex passwords securely.",password|strong password|security|reset
28,How do I set up two-factor authentication after resetting my password?,"1. Log in to your account settings and locate the 'Security' or 'Two-Factor Authentication' section. 2. Choose a method: authenticator app, SMS code, or email code. 3. Scan the QR code with an authenticator app if selected, or enter your phone number for SMS codes. 4. Save the backup codes provided in a safe place. 5. Test the login process to confirm 2FA is working correctly.",password|two-factor|authentication|security
29,I reset my password but I'm still unable to log in. What should I check?,"1. Confirm Caps Lock is off, as passwords are case-sensitive. 2. Make sure you're entering the updated password, not the old one from memory or a saved browser autofill. 3. Clear the browser's saved credentials and try again manually. 4. Check if your account requires additional verification (2FA code). 5. If the problem persists, contact IT support to verify the account status.",password|reset|login|troubleshoot
30,How often should I be required to change my work password?,"1. Most organizations enforce a password change every 60-90 days for security compliance. 2. Check your company's IT security policy for the exact requirement. 3. You'll typically receive an automatic reminder a few days before expiration. 4. If you receive an expiration warning, reset it promptly through the self-service portal to avoid being locked out. 5. Avoid reusing your last several passwords, as most systems block repeats.",password|policy|expiration|security
31,I can't log into my email account even though I'm using the correct password. What's wrong?,"1. Confirm there is no ongoing service outage by checking the provider's status page. 2. Double-check for typos, extra spaces, or Caps Lock being on. 3. Try logging in from a different browser or device to rule out local issues. 4. Clear browser cache and cookies. 5. Use the 'Forgot Password' option to reset your credentials if login continues to fail. 6. Contact IT support if the account may have been locked for security reasons.",email|login|access|password|outage
32,Why am I not receiving any new emails in my inbox?,"1. Check your internet connection to confirm you're online. 2. Verify the mailbox isn't full by checking your storage quota. 3. Check spam/junk folders in case emails are being misfiled. 4. Review any mail filters or rules that might be redirecting incoming messages. 5. Confirm the mail server settings (IMAP/POP/SMTP) haven't changed. 6. Contact IT support if the issue affects multiple users, indicating a server-side problem.",email|inbox|not receiving|filters|server
